"sku","brand","name","image","description","packaging"
"8554129","Zoi","Yogurt Plain Greek","https://mediacdn.sysco.com/images/rendition?id=52f65c0245492dd92193af2e89567becda554960","","1/32 LB"
"7441314","International Delight","Creamer Coffee Hazelnut Nd","https://mediacdn.sysco.com/images/rendition?id=fc8d59393eba9c09fc794a2ea925b160cc0b20a2","","288/13 ML"
"2819458","Casa Solana Imperial","Cheese Cheddar Jack Feather Shredded","https://mediacdn.sysco.com/images/rendition?id=066e67e88833b868214526c3a5ee33ce7f826631","","4/5LB"
"4776930","Eggs America","Egg Shell Large Brown A Cage Free 15 Dozen","https://mediacdn.sysco.com/images/rendition?id=c6cec6c3eef9d7837083c0ebb28b2e9f48988d96","","1/15 DZ"
"6557682","Darigold Farms","Cream Heavy Whipped 40% Plastic","https://mediacdn.sysco.com/images/rendition?id=cf38df23565e317dfb854fd8baae89d839ed117f","","6/.5 GAL"
"7436902","Yami By Auburn Dairy","Yogurt Vanilla Low Fat","https://mediacdn.sysco.com/images/rendition?id=71fb060895d746850039923a160b7294b2eace31","","6/32 OZ"
"7192819","Wholesome Farms Classic","Milk Chocolate 1% Bottle Extended Shelf Life","https://mediacdn.sysco.com/images/rendition?id=0f5400199c09b4fc2d76346be8db3c5bde908440","","24/8 OZ"
"3029404","Wholesome Farms Imperial","Butter Chip Continental Usda Aa 59 Count","https://mediacdn.sysco.com/images/rendition?id=0847b74903bb12ffd979f0f269f2e187d869215a","","5/3.4 LB"
"1183312","Marano Select","Cheese Parmesan Grated Imported Tub","https://mediacdn.sysco.com/images/rendition?id=d53da3ceec939ee58515e0a7a1aac583ef09d851","","1/5#"
"3546369","Block & Barrel Imperial","Cheese Cheddar Mild Sliced Interleafed .75 Oun","https://mediacdn.sysco.com/images/rendition?id=0ab58453f901fe5b15e14644e9d23484408908d9","","8/1.5LB"
"2529949","Leprino Foods","Cheese Mozzarella Shredded Whole Milk Frozen","https://mediacdn.sysco.com/images/rendition?id=c25001213c18f78ddb8ba76dcd30ca006bef98c3","","1/15 LB"
"7192671","Wholesome Farms Classic","Milk 2% Btl Esl","https://mediacdn.sysco.com/images/rendition?id=2b08e86f1d3f7b0f16e62d2c4165c1e5415dfa53","","24/8 FOZ"
"0248807","Block & Barrel Imperial","Cheese Cubed Cheddar Swiss Pepper Jack","https://mediacdn.sysco.com/images/rendition?id=3f1515d5f871e035af5268e993b03d141c853b9d","","3/5LB"
"2986038","Pacific","Milk Almond Original Barista","https://mediacdn.sysco.com/images/rendition?id=87c5d5dabda14d6804bd527ecf01e808c049d4b5","","12/32 OZ"
