"sku","brand","name","image","description","packaging"
"7233246","Impossible Foods","Chicken Tender Plant Based","https://mediacdn.sysco.com/images/rendition?id=efdc5ea23275a5a23c3cb52feb117d6cd43a2f0c","","2/5 LB"
"7163184","Aqua Star","Crab Meat Claw Pasteurized Asia","https://mediacdn.sysco.com/images/rendition?id=723bd5a993b5e07f53bb6700a8b9c1862dfd57bf","","6/1 LB"
"0566838","Fire River Farms Classic","Beef Ground Fine 81% Lean Bulk Chubs","https://mediacdn.sysco.com/images/rendition?id=03dbb93d386e881af7b1d4c3c3a8da682351d55f","","4/10#AVG"
"5809367","Butchers Block","Pork Rib St. Louis 2.75-3#","https://mediacdn.sysco.com/images/rendition?id=799865aebbb54c4b87712ef089ebc6b71ce4daf9","","10/2.75#"
"6156301","Fire River Farms Classic","Beef Patty Cooked Seasoned Homestyle Frozen","https://mediacdn.sysco.com/images/rendition?id=7532039d01d563edd8873501780420ebc56a99d9","","46/3.5 OZ"
"2925915","Casa Solana Classic","Beef Taco Meat Pre-cooked","https://mediacdn.sysco.com/images/rendition?id=c29984b88161e4099f4843bed8cde586058ed8c8","","4/5 LB"
"5107525","Portico Classic Seafood","Shrimp White Peeled And Deveined Tail-on 16/20 Count","https://mediacdn.sysco.com/images/rendition?id=b204eb613dac817faae149c8487006942d636733","","4/2.5 LB"
"2679704","Casa Solana Classic","Beef Fajita Strip Raw Marinated Southwestern Frozen","https://mediacdn.sysco.com/images/rendition?id=c9801f6a97da1010008af4698c9ac2415c04f488","","4/5LB"
"7036684","Portico Classic Seafood","Cod Atlantic Loin IQF 6 Ounce Asia","https://mediacdn.sysco.com/images/rendition?id=66563244aa9610f4dfaadec7e3df98cc1a93e025","","1/10 LB"
"5231238","Sysco Reliance","Chicken Cvp Breast Boneless-skinless Random Jumbo Marinated","https://mediacdn.sysco.com/images/rendition?id=aa0537db99b3e81acdb38456101849868f619834","","4/10 LB"
"2214963","Packer","Octopus Iqf Cleaned 2-4 Pound","https://mediacdn.sysco.com/images/rendition?id=9e28f45a2635612cde094ca9ffc380a3a16f8ca9","","1/30 LB"
"3032246","Fire River Farms Classic","Beef Patty 80/20 Homestyle Individual Quick Freeze","https://mediacdn.sysco.com/images/rendition?id=6424f47150f2b1e77defb7ab0018a15252982656","","80/4 OZ"
"4856310","Newport Pride Natural","Beef Ground Natural Bulk Frozen","https://mediacdn.sysco.com/images/rendition?id=52e63aad9f3238bee7c4068aacb8f3560e9d2239","","3/5#"
"7225238","Sysco Classic","Chicken Wing Breaded Precooked Crispy Mild","https://mediacdn.sysco.com/images/rendition?id=d220b4b96c2a69e2ac3fc1f5ea746f8b2213701c","","3/5 LB"
"9220211","Zenner","Sausage Chicken Apple 2 Oz Links","https://mediacdn.sysco.com/images/rendition?id=187908a7d2ad63727952a60ec7dac47b394bb566","","1/10LBS"
